years_experience,salary
18.75,69978
26.92,90426
23.27,79269
6.76,53999
9.0,41485
26.21,94990
0.16,25281
24.64,93097
23.91,93716
14.04,43852
9.09,38473
8.35,53996
7.65,46977
13.35,52918
15.14,71874
16.6,65459
29.87,101073
23.78,83443
18.67,63437
29.67,92678
6.46,53028
4.81,52591
18.38,60506
1.32,23360
1.07,34887
15.45,55217
13.99,68993
27.52,95486
18.88,76713
15.42,69814
14.91,65805
7.43,40819
0.35,36630
5.77,39269
20.76,75070
6.02,45964
11.09,57934
0.11,25305
24.9,78877
4.63,47001
8.03,61447
26.41,91880
15.29,66993
25.41,83319
19.19,76233
22.25,77295
2.74,32431
16.23,66920
15.23,63533
26.14,89704
10.84,39893
17.95,82200
1.78,39130
11.63,51302
9.69,53222
4.51,35005
24.49,77069
11.38,49685
29.36,100629
17.7,59827
18.15,73239
19.14,76085
20.29,64078
4.52,46148
13.21,50036
7.19,39190
12.07,53972
2.9,34956
29.03,101066
6.45,42110
20.15,78389
9.01,46641
26.22,94466
19.87,77205
3.95,33337
25.35,91681
28.35,97087
27.12,99468
17.09,58092
4.36,31571
5.77,38766
27.84,92926
16.57,65190
5.42,45302
26.52,93108
19.25,70710
17.09,75540
11.29,53073
12.33,62302
7.18,53872
1.14,36158
26.29,82936
14.03,66354
16.43,64991
9.66,50945
22.54,80253
0.76,25164
11.17,59397
0.91,24405
3.69,31307
29.01,101132
19.73,78841
12.85,57660
15.71,77135
26.18,92438
10.33,59267
17.71,71212
20.51,88078
10.66,51893
15.57,60066
22.96,78162
27.28,102669
4.53,42268
28.0,103166
0.16,27034
22.59,79905
24.32,74765
4.1,37306
12.57,61398
24.46,90638
0.43,17631
18.85,64525
23.79,88432
15.39,62104
21.78,85348
6.79,49639
5.96,35182
10.89,70586
5.38,36394
10.38,46737
28.44,105815
17.2,62142
10.2,52318
8.15,49687
28.56,90118
13.33,66828
29.41,93011
15.47,72181
15.63,59903
26.9,82575
22.28,81571
17.42,77199
12.8,58109
26.35,85911
12.35,62796
27.68,89924
2.06,27971
12.9,62757
15.59,65145
28.53,92416
7.53,52858
24.18,96145
20.29,87748
21.51,77775
18.89,80882
29.15,95771
9.98,49914
11.95,48167
6.09,39958
1.52,24394
6.39,48241
27.46,83568
25.21,84480
3.37,29888
18.11,73431
14.38,65911
17.84,73859
19.78,77992
9.2,50880
28.84,95586
13.98,58728
18.84,83474
19.06,75852
5.52,39675
1.86,33500
12.35,54906
22.92,73460
24.46,92676
21.9,88730
3.4,28837
27.4,95329
24.06,88326
26.33,91584
15.7,58615
27.47,101143
1.4,37579
0.91,22372
0.61,22489
7.58,45579
7.46,46589
5.63,33236
17.01,73552
1.17,23664
17.71,71345
4.98,40026
20.34,76864
0.63,20780
9.32,51710
28.15,108093
16.15,69665
24.35,85650
19.74,70193
18.32,64233
5.74,33389
17.23,67838
1.19,23360
24.05,89666
28.8,99819
25.62,88553
1.52,36771
10.16,56246
9.54,58886
3.38,33132
18.8,76109
23.92,89096
9.41,54015
25.88,81777
23.91,76987
3.87,36436
23.01,82659
26.48,89577
5.92,45695
17.21,60769
19.16,69876
18.28,65857
2.89,41085
19.84,80140
18.96,72271
24.72,84765
24.11,83308
9.82,63109
21.66,78202
26.02,93488
26.79,89930
4.85,32571
0.8,18635
19.52,68426
6.44,39008
16.91,73656
28.34,100114
11.38,51549
7.58,56019
13.7,63623
19.72,68156
3.03,34719
11.42,54857
4.01,39797
19.87,74237
24.92,75966
11.31,57126
11.15,60490
16.19,60799
6.45,39229
7.42,45202
9.9,51953
13.72,71390
2.45,37509
22.58,86286
17.37,72059
8.99,45877
2.33,29784
22.9,73873
3.93,30546
4.0,46846
3.92,39498
2.44,31413
27.19,92799
8.08,48818
9.19,44910
24.98,82615
18.6,76676
5.61,44784
13.04,59242
26.52,92140
11.26,61096
21.33,75020
2.9,29648
21.82,82710
23.29,75753
24.77,83026
20.23,78273
11.12,57198
1.93,35574
15.56,71966
22.72,75214
5.73,31313
7.99,48365
16.08,61447
22.45,77964
26.9,91303
3.77,34138
5.53,41680
23.99,85321
19.34,76408
21.63,75914
29.9,106411
28.18,92599
25.29,85896
23.31,78616
11.85,48512
19.24,75809
5.53,38774
22.78,78787
22.73,79376
21.64,79543
13.34,56923
11.35,53560
12.59,56347
1.0,25341
25.33,90943
16.27,73974
11.63,66390
16.44,71869
21.65,80546
11.44,58441
24.92,99175
27.58,100323
11.62,37901
4.13,30927
22.81,85418
29.79,96489
4.44,38612
21.38,75922
24.76,86618
27.62,91680
3.7,32078
2.75,37836
29.64,96738
3.5,18998
5.3,38490
17.25,68895
13.39,54659
22.51,79179
5.72,44094
27.43,95188
6.52,44583
23.07,90377
2.03,23629
14.2,67500
0.98,23764
9.41,47563
9.37,43164
21.59,76007
13.65,64241
1.7,34876
29.86,105392
26.66,94755
27.49,98851
7.4,59241
11.82,55331
6.82,45749
3.75,29900
0.99,25834
15.1,75140
3.69,34402
5.29,44283
25.81,84961
14.53,65266
5.51,60855
20.1,76953
7.98,40151
15.81,61692
8.49,41153
15.48,69323
18.86,73239
16.09,60712
11.87,57310
23.72,82922
26.2,88202
5.38,44868
4.09,41506
3.4,39405
29.39,107000
28.25,99834
6.92,36923
29.1,94439
6.23,45280
15.19,66875
14.92,71025
27.45,84103
1.22,20450
9.46,54328
18.0,69461
1.99,28206
7.1,39276
13.95,73602
26.43,94949
22.83,68771
24.87,96637
22.83,81940
21.23,80833
25.49,91794
20.44,74189
22.07,85078
9.05,53766
5.03,39501
22.7,78479
4.98,39639
27.58,96177
17.9,58630
9.88,62476
28.1,99801
4.65,38579
15.43,62368
2.75,32724
28.96,103387
17.26,66453
24.11,92067
8.46,47139
24.05,90808
21.09,76262
19.31,78184
28.52,98274
13.0,55707
12.45,59118
20.76,73015
25.05,92825
10.05,55778
20.09,71973
6.27,45721
16.55,65045
23.08,82625
1.96,43292
21.84,84833
0.46,25336
28.75,103264
14.06,49493
12.27,51260
21.61,74286
15.7,73043
21.93,74397
2.54,32411
16.88,72671
16.74,59066
27.96,91363
1.19,35219
13.58,48747
18.93,73815
16.52,70618
2.22,27341
17.8,59435
6.67,40563
5.87,41041
26.36,92839
5.94,39973
13.63,58766
22.51,76909
21.22,84536
16.6,68283
24.21,75436
13.97,62552
18.61,68296
24.57,80349
20.34,80959
19.25,87860
12.18,62013
16.75,67115
11.88,51554
22.33,92313
11.41,56289
14.0,65837
22.66,75768
15.11,67188
10.14,62388
24.8,72958
11.43,49765
25.34,87177
23.56,85168
13.42,54137
21.39,78189
1.03,32437
11.69,61572
25.81,91310
17.39,67658
16.73,72566
19.94,64379
20.33,87455
17.51,72516
12.62,67113
5.5,42857
8.78,49887
8.79,44641
12.92,56454
29.97,100642
10.58,54644
13.42,53430
11.15,51923
17.44,72440
28.44,89660
26.67,81361
11.31,58214
8.01,43502
26.53,88843
14.82,66444
20.57,88152
2.2,31065
26.0,84953
9.39,45488
14.84,73133
5.94,43001
12.61,45006
24.84,79522
24.83,76224
14.21,66191
23.04,69380
13.74,69484
11.2,56029
16.38,66835
6.04,37928
9.5,55687
21.2,75085
23.12,84668
1.7,28420
21.98,83432
24.52,85762
13.36,56312
1.87,22683
20.49,77212
7.38,37771
19.3,70762
11.3,46259
19.11,61599
7.74,45109
14.3,59297
15.74,76222
18.93,73819
6.1,40435
28.86,102466
8.67,44429
9.18,51615
7.69,43324
2.02,42821
12.69,54035
23.16,77531
21.29,77054
5.87,37318
4.11,47114
9.64,47731
23.05,83815
14.64,66211
27.7,89921
19.69,71592
18.63,57597
23.03,90258
22.51,68990
10.32,55512
7.71,40193
13.13,54056
14.68,68260
4.25,36300
13.24,57459
19.19,62894
4.07,41819
4.14,41771
5.21,33343
8.5,43527
28.85,97234
0.77,31308
5.51,45607
4.95,31686
14.23,59761
0.45,20764
13.75,55870
4.89,38866
8.09,49956
23.77,82193
5.52,52769
18.51,70814
12.19,51638
12.53,59822
24.51,82789
4.83,44145
27.71,94251
26.8,100224
20.05,83372
1.48,38599
19.9,67522
18.01,70354
23.17,85384
6.41,45224
28.6,76491
26.59,88772
3.43,40293
9.46,54036
0.97,21241
24.93,84319
27.45,94050
29.69,92967
18.36,78349
19.98,74028
20.35,75027
17.1,64819
28.57,96092
18.24,66950
10.07,54205
15.39,70886
0.56,33608
21.72,80801
20.82,82013
12.63,49909
25.54,95403
22.67,77406
10.1,39452
2.32,32083
3.97,29420
5.53,34323
9.12,52939
13.43,69673
27.84,91260
8.35,47958
26.96,92297
20.41,80055
25.6,92340
12.1,50828
0.1,34668
23.61,73262
7.36,47502
4.27,30099
23.98,96281
20.59,83852
6.37,40911
8.03,53815
28.18,88730
8.06,41436
21.07,77678
3.89,30429
24.45,96728
3.53,33562
15.48,59037
1.06,28839
16.5,75041
25.4,90465
2.53,29062
8.23,49039
22.94,80177
18.24,65719
9.38,46742
18.87,71955
13.64,54547
25.87,88777
8.79,46915
22.73,86239
19.07,73376
22.21,86947
11.35,56303
21.75,79175
20.95,80586
11.62,47017
0.79,29929
28.89,95374
21.41,80543
6.14,49262
21.92,83053
8.36,58231
14.08,53593
25.8,96746
13.44,54965
8.64,38381
9.16,41004
2.31,28040
6.59,47650
8.13,46785
5.19,38884
1.89,32753
13.97,63413
6.43,40897
22.16,79970
27.68,87128
8.19,44336
17.17,65624
15.2,57906
2.25,32863
3.75,37277
26.54,99852
14.22,63678
24.14,81253
2.0,33156
17.84,60889
25.96,92052
26.01,92962
0.17,24908
15.65,70307
11.07,55586
22.8,89958
2.2,35184
7.95,40644
24.38,79392
14.09,59031
13.59,61518
29.06,111409
9.6,50032
1.25,29383
11.77,49073
4.6,37041
2.46,23877
17.04,70133
28.61,100533
17.38,75580
19.41,72975
9.71,47373
17.13,69630
22.57,78648
17.68,83442
24.08,85604
16.51,68209
5.94,54527
17.48,72283
14.73,69091
4.98,44834
18.57,62632
24.51,90789
4.05,35925
16.35,64277
22.01,79203
12.09,56159
8.1,50559
11.17,47658
16.25,62991
20.6,69667
16.78,66411
3.21,44501
24.54,92486
27.72,97425
3.04,28126
7.49,45222
5.21,26966
25.47,90845
27.31,92625
1.33,28281
9.97,47257
5.77,50447
14.09,65140
27.65,94371
2.11,32190
5.14,41744
14.61,66387
15.72,66301
22.37,83930
13.13,52421
4.23,24930
10.61,45837
29.46,84911
22.52,91612
3.49,31349
24.25,99420
9.33,50064
23.44,82386
0.38,21187
26.14,94677
4.87,37561
13.67,70942
19.85,69545
15.24,63234
4.96,45793
4.17,42720
8.54,37163
1.57,32390
6.5,46222
3.9,36771
13.94,63777
10.7,55487
17.6,62914
8.43,43083
1.02,29630
9.93,54099
22.66,83017
7.68,46995
12.14,60588
22.65,80977
12.2,52235
26.61,97632
27.54,102998
9.32,45209
22.08,82025
7.59,47929
4.19,40022
13.14,58205
18.07,66358
28.07,93168
4.38,28565
21.37,96338
14.26,59614
3.95,30246
29.18,97370
20.87,72968
3.87,22982
27.17,92235
3.09,45278
2.78,35691
9.95,45812
28.14,86211
0.99,36033
27.55,91372
18.35,66318
2.01,36170
17.06,68310
13.76,62304
16.92,64761
